"","growth"
"X1201710252",0.121580482852556
"X1201710258",0.769363942893666
"X1201710262",0.872220705081935
"X1201710264",0.124538212149091
"X1201710265",0.118510805968734
"X1201714080",0.109889950719429
"X1201714081",0.119649717639712
"X1201714082",0.111064896602018
"X1201714083",0.122681074881452
"X1201714084",0.113195117995213
"X1201714087",0.119045362559989
"X1201714088",0.122157020213338
"X1201714089",0.127868713675673
"X1201714090",0.116805636983806
"X1201714091",0.115306385252581
"X1201710583",0.143387268945009
"X1201710584",0.11688665282521
"X1201710585",0.120864594167904
"X1201710586",0.143096962666352
"X1201710588",0.124347130043752
"X1201714092",0.125062512982839
"X1201714093",0.115528534721475
"X1201714094",0.126494436338837
"X1201714095",0.122338924861635
"X1201714096",0.120214425438831
"X1201714097",0.107660497680303
"X1201714099",0.117235301529988
"X1201714100",0.792347125256665
"X1201714101",0.816374192048549
"X1201714102",0.113143780687693
"X1201714103",0.115165256389671
"X1201714105",0.116221254834085
"X1201714106",0.114942484769688
"X1201714107",0.113707108903452
"X1201714108",0.115584288144403
"X1201714110",0.834743731444367
"X1201714111",0.121129720172954
"X1201714113",0.85160943907987
"X1201714116",0.817354216408736
"X1201714117",0.128775553388977
"X1201714118",0.11179764395049
"X1201714119",0.113604374490128
"X1201714120",0.885344078866949
"X1201714122",0.127543271191264
"X1201714125",0.111780106656809
"X1201714126",0.796304374800122
"X1201714127",0.787191000413648
"X1201714129",0.818476755247187
"X1201714130",0.118466649563445
"X1201714131",0.792449101605212
"X1201714132",0.769783821075336
"X1201714133",0.114983923850154
"X1201714135",0.117703130320218
"X1201714136",0.127371694877635
"X1201714137",0.123551330254998
"X1201714138",0.113951669849124
"X1201714140",0.11441903204223
"X1201714142",0.120400181132234
"X1201714144",0.165426598219045
"X1201714145",0.118140747045509
"X1201714146",0.111264967957416
"X1201714147",0.134251046978782
"X1201710589",0.11870225623127
"X1201710590",0.127457673490312
"X1201710591",0.119020578086368
"X1201710593",0.116868797457739
"X1201710594",0.118214497053868
"X1201714148",0.114068414091108
"X1201714149",0.115353739082369
"X1201714150",0.114307719953191
"X1201714152",0.110018686691749
"X1201714154",0.840169151492666
"X1201714155",0.839537255954845
"X1201714156",0.108721751463717
"X1201714157",0.114101619116637
"X1201714158",0.130535163795276
"X1201714159",0.124817238184417
"X1201714160",0.111212807304193
"X1201714161",0.11528591427904
"X1201714162",0.836693493967811
"X1201714163",0.112910015991525
"X1201714164",0.116960251627882
"X1201714166",0.120122987565135
"X1201714167",0.786902155933128
"X1201714168",0.129350898768275
"X1201714169",0.130184108817151
"X1201714170",0.820137418222042
"X1201714171",0.114607234416651
"X1201714172",0.779328186287575
"X1201714173",0.837188793230251
"X1201714174",0.125607753043982
"X1201714175",0.123649804000101
"X1201714176",0.110822240825411
"X1201714177",0.112234578485157
"X1201714178",0.186402404884952
"X1201714179",0.113006705943209
"X1201714531",0.128125785071663
"X1201714534",0.835222645318083
"X1201714535",0.112586370236388
"X1201714536",0.118787928718896
"X1201714537",0.785587266998694
"X1201714538",0.126075207663995
"X1201714539",0.807146396496565
"X1201714541",0.117234879190243
"X1201714543",0.82051868053074
"X1201714544",0.117690714126101
"X1201710289",0.125307274678385
"X1201710292",0.824464424837411
"X1201710295",0.117067305723175
"X1201710296",0.121241987033387
"X1201710304",0.875545017207841
"X1201714545",0.120440609728712
"X1201714549",0.11242517668859
"X1201714550",0.119050481589465
"X1201714553",0.112478921344179
"X1201714554",0.127531927862527
"X1201714555",0.120155339588741
"X1201714556",0.109782626729179
"X1201714557",0.119781578138989
"X1201714558",0.114791236140252
"X1201714559",0.125702565054034
"X1201710595",0.870036561839164
"X1201710596",0.12076358618804
"X1201710600",0.116877414889344
"X1201710602",0.804632854663883
"X1201714560",0.119812336992266
"X1201714564",0.114366066302417
"X1201714565",0.119813879783974
"X1201714566",0.777078120818192
"X1201714567",0.118341282369363
"X1201714568",0.118449672426775
"X1201714572",0.835427673815244
"X1201714573",0.832338021194038
"X1201714574",0.120682947660466
"X1201714581",0.121131461568671
"X1201714582",0.131655547293611
"X1201714583",0.121159177065204
"X1201714584",0.109871030631805
"X1201714585",0.813499604356727
"X1201714586",0.120329381995294
"X1201714588",0.116270508690348
"X1201714589",0.12015075547997
"X1201714590",0.117128265860032
"X1201714593",0.118596370045415
"X1201714594",0.113880595722754
"X1201714595",0.11126339991862
"X1201714597",0.806898000382898
"X1201714598",0.117394460149303
"X1201714599",0.152482181583735
"X1201714600",0.119274082021808
"X1201714601",0.800244034717031
"X1201714602",0.117374863112695
"X1201714603",0.808231280021052
"X1201714604",0.116641089731456
"X1201714605",0.115763485987136
"X1201714606",0.857321461967861
"X1201714607",0.11651553560418
"X1201714608",0.821945040409818
"X1201714610",0.125412636106457
"X1201714612",0.793099953643002
"X1201714613",0.114580531795316
"X1201714615",0.114302160052993
"X1201714616",0.783010730764564
"X1201714617",0.118232635537961
"X1201714619",0.118027011707756
"X1201714620",0.117074887122163
"X1201714621",0.786142150544969
"X1201714622",0.121860540032353
"X1201714623",0.120751502425905
"X1201714624",0.111929087005091
"X1201714625",0.11888487360672
"X1201714627",0.118594780445802
"X1201714628",0.126485147347251
"X1201710605",0.116406782375326
"X1201710609",0.120705047110996
"X1201710611",0.125680553671493
"X1201710612",0.827552136071875
"X1201710615",0.846092852416773
"X1201714629",0.812443228703946
"X1201714630",0.116248818426217
"X1201714631",0.120609368108285
"X1201714633",0.121063955966895
"X1201714634",0.110215343143072
"X1201714635",0.118253802514439
"X1201714636",0.135589522707977
"X1201714637",0.109590768349375
"X1201714639",0.141273513744554
"X1201714640",0.118674067424745
"X1201714641",0.11544218223788
"X1201714642",0.114680324391073
"X1201714644",0.136428428440089
"X1201714645",0.118807617777236
"X1201714646",0.111084427815579
"X1201714647",0.108889488020707
"X1201714648",0.124604005735654
"X1201714649",0.108456821328537
"X1201714650",0.122660887665818
"X1201714651",0.124142960605051
"X1201714652",0.115998428345564
"X1201714653",0.122693473554725
"X1201714654",0.119125914574403
"X1201714655",0.124312137279678
"X1201714657",0.102008219417355
"X1201714658",0.114493655023878
"X1201714659",0.141733283930854
"X1201714660",0.120610878127846
"X1201714661",0.121005133605517
"X1201714664",0.117373033350311
"X1201714665",0.113579727205048
"X1201714667",0.109606811638058
"X1201714668",0.115524274624409
"X1201714669",0.114039137061892
"X1201714670",0.127978652155258
"X1201714671",0.114857843302779
"X1201714672",0.14543089802381
"X1201714673",0.14397769788845
"X1201714674",0.125432902440145
"X1201714675",0.115227343329444
"X1201714676",0.141247608936715
"X1201714677",0.117106719010335
"X1201714678",0.11555896948784
"X1201714679",0.123369631999483
"X1201714680",0.12289889226722
"X1201714682",0.122572743973665
"X1201714683",0.126743128101328
"X1201714684",0.121058314100932
"X1201714685",0.86647400129515
"X1201714686",0.821676494063174
"X1201710620",0.131582200058392
"X1201710623",0.112486530954964
"X1201710631",0.10843378975934
"X1201710635",0.120160275036706
"X1201710637",0.127302387856554
"X1201714687",0.119495630639794
"X1201714688",0.138545814629048
"X1201714689",0.120914358806262
"X1201714690",0.125563718598985
"X1201714691",0.863964211635973
"X1201714692",0.109827548092602
"X1201714695",0.120393316822545
"X1201714696",0.810508843740625
"X1201714697",0.124269088169435
"X1201714698",0.121881610286483
"X1201714699",0.817517520572336
"X1201714704",0.123408505279126
"X1201714705",0.122204996987812
"X1201714706",0.112146234949039
"X1201714707",0.173320717965992
"X1201714710",0.801405681372976
"X1201714711",0.831216147328644
"X1201714713",0.17431390771229
"X1201714714",0.847483470941876
"X1201714716",0.123439918564432
"X1201714717",0.125857571133407
"X1201714719",0.845644086804865
"X1201714721",0.148589001849008
"X1201714722",0.782288104258939
"X1201714723",0.802493639334097
"X1201714724",0.123112782087935
"X1201714728",0.123041684688418
"X1201714729",0.116551235386067
"X1201714730",0.129494682346472
"X1201714731",0.123262227836503
"X1201714733",0.821277763535358
"X1201714735",0.833295628205774
"X1201714736",0.13477300638704
"X1201714739",0.141182760344147
"X1201714740",0.11880574156358
"X1201714741",0.833470031806997
"X1201714742",0.12612488950484
"X1201714744",0.831971865660496
"X1201714746",0.836410977887947
"X1201714747",0.114659118268012
"X1201714750",0.115180704843132
"X1201714751",0.13520559207493
"X1201714752",0.120616076116187
"X1201714753",0.792929784434583
"X1201714754",0.130819665422355
"X1201714755",0.124526481652713
"X1201714756",0.114904900578204
"X1201714757",0.120356174675186
"X1201714759",0.858674247146668
"X1201714760",0.827438212391942
"X1201710639",0.120881432160634
"X1201710640",0.105670763178689
"X1201710643",0.125761318976446
"X1201710645",0.110987021821711
"X1201710652",0.12731656591247
"X1201714761",0.123133304068685
"X1201714762",0.121403639226096
"X1201714765",0.115413979300709
"X1201714766",0.136494861220618
"X1201714768",0.122864555372585
"X1201714769",0.121390815630775
"X1201714771",0.119315102307347
"X1201714772",0.126827718960266
"X1201714773",0.119271555658782
"X1201714774",0.124136378435267
"X1201714775",0.116076205616977
"X1201714776",0.122497836842775
"X1201714777",0.112953339059201
"X1201714779",0.123401486563711
"X1201714780",0.125647724159139
"X1201714781",0.118514827744495
"X1201714782",0.119168820787843
"X1201714784",0.121076729577349
"X1201714785",0.121359733345256
"X1201714786",0.123876100632884
"X1201714787",0.809214965871569
"X1201714789",0.124227999774527
"X1201714790",0.180449132847604
"X1201714791",0.849808867252358
"X1201714844",0.144121809992297
"X1201714845",0.120960112143545
"X1201714847",0.12392580918047
"X1201714848",0.134768678534829
"X1201714850",0.125662183330942
"X1201714851",0.123979401011314
"X1201714852",0.809993427483696
"X1201714853",0.122429305492035
"X1201714855",0.128790923250432
"X1201714856",0.125167392094497
"X1201714857",0.122531274085049
"X1201714858",0.1252382250943
"X1201714860",0.119933540926758
"X1201714862",0.125779110929105
"X1201714863",0.840077185107231
"X1201714864",0.124140060160452
"X1201714865",0.118504358485012
"X1201714866",0.15927722358574
"X1201714867",0.863591261804555
"X1201714869",0.138720104586478
"X1201714870",0.83436438358583
"X1201714871",0.815989426943597
"X1201714872",0.81857315248388
"X1201714874",0.123366774696263
"X1201714875",0.820754515961137
"X1201714878",0.124791284755718
"X1201710655",0.828319901806224
"X1201710664",0.123468968060704
"X1201710666",0.116597484082771
"X1201710667",0.806541440875661
"X1201710668",0.124901356896967
"X1201714879",0.132498272678206
"X1201714880",0.129659169663902
"X1201714882",0.146700283562211
"X1201714883",0.127105028230198
"X1201714884",0.118708399923227
"X1201714887",0.128562544637594
"X1201714891",0.153529320059782
"X1201714892",0.123063795709752
"X1201714893",0.109620218481227
"X1201714894",0.128781441691613
"X1201714895",0.780382343941746
"X1201714896",0.119141585512526
"X1201714897",0.777448811633267
"X1201714898",0.119325631503502
"X1201714899",0.116453164347673
"X1201714900",0.828274526699538
"X1201714904",0.11331783410145
"X1201714906",0.115697917163163
"X1201714907",0.828856828415722
"X1201714909",0.133258713014461
"X1201714910",0.828051038633762
"X1201714911",0.127643502785856
"X1201714912",0.121187401268191
"X1201714913",0.114880450589431
"X1201714914",0.118327654065371
"X1201714915",0.115100087025703
"X1201714916",0.123404507313601
"X1201714917",0.125631558040068
"X1201714918",0.120476382124864
"X1201714919",0.134895682791518
"X1201714921",0.80296752451073
"X1201714925",0.129090238184141
"X1201714926",0.131226520214925
"X1201714928",0.127729426780174
"X1201714930",0.857645198109413
"X1201714931",0.141081016568695
"X1201714932",0.123038686543847
"X1201714933",0.870043283072467
"X1201714934",0.803024768478357
"X1201714937",0.858397635288708
"X1201714938",0.127692929458557
"X1201714939",0.709984762901296
"X1201714940",0.121901826777792
"X1201714943",0.115969000008867
"X1201714944",0.120055473149881
"X1201714945",0.114890923326349
"X1201714946",0.115812842162631
"X1201714948",0.133573557278029
"X1201714949",0.815851697404158
"X1201714950",0.132820578419492
"X1201710671",0.124446144538918
"X1201710672",0.116390454915134
"X1201710674",0.121478273543712
"X1201710676",0.866756064243438
"X1201714951",0.130025621871237
"X1201714952",0.114880602930267
"X1201714953",0.125899081268376
"X1201714954",0.117639971684351
"X1201714955",0.115879781294016
"X1201714956",0.125138926989469
"X1201714957",0.129531455840027
"X1201714958",0.114493806454735
"X1201714959",0.103429198158751
"X1201714960",0.126383393776061
"X1201714964",0.121468058387106
"X1201714965",0.122124584440643
"X1201714967",0.12109072082256
"X1201714969",0.117437128859866
"X1201714970",0.111844293906386
"X1201714972",0.125055125332208
"X1201714974",0.126588082062837
"X1201714975",0.117887286812557
"X1201714976",0.813869059619304
"X1201714977",0.129130127301288
"X1201714978",0.113405014227255
"X1201714979",0.607808503565039
"X1201714981",0.115638545107862
"X1201714983",0.133304233612586
"X1201714985",0.114738347411484
"X1201714988",0.108892404066623
"X1201714989",0.112346875337679
"X1201714990",0.105135508859784
"X1201714993",0.125437485804658
"X1201714994",0.123151330339278
"X1201714996",0.129709035621927
"X1201714997",0.117996678369306
"X1201714998",0.126741748608651
"X1201714999",0.790788668325653
"X1201715000",0.787571944392702
"X1201715001",0.841657368349205
"X1201715002",0.121865095842634
"X1201715003",0.12662497533347
"X1201715005",0.117312794072273
"X1201715006",0.128069150956793
"X1201715007",0.131078491608866
"X1201715008",0.206622870932407
"X1201715009",0.816895262101816
"X1201715010",0.114473926947006
"X1201715011",0.85865030184614
"X1201715012",0.117337714179783
"X1201715013",0.11805226644039
"X1201715014",0.124663971786412
"X1201715015",0.124837771756366
"X1201715017",0.114869185428664
"X1201710684",0.835417843915707
"X1201710685",0.119264582244893
"X1201710686",0.132035856490723
"X1201710688",0.121489266880537
"X1201710696",0.125029329523636
"X1201715018",0.11710637795979
"X1201715019",0.120107833056928
"X1201715020",0.12740434919403
"X1201715021",0.118534498297288
"X1201715022",0.118993760651174
"X1201715023",0.865222346408528
"X1201715024",0.121076256091898
"X1201715025",0.822448789761694
"X1201715026",0.858485955481754
"X1201715027",0.127860393828641
"X1201715028",0.816870294737307
"X1201715029",0.813092759648629
"X1201715031",0.813397833131173
"X1201715032",0.831137411400791
"X1201715033",0.547566214537701
"X1201715035",0.121201998759056
"X1201715036",0.840047284341548
"X1201715037",0.803131758309944
"X1201715039",0.121672890512587
"X1201715040",0.112221825648816
"X1201715041",0.111049258144636
"X1201715042",0.11999127381016
"X1201715043",0.126216992791232
"X1201715044",0.129748965538232
"X1201715045",0.833940336621207
"X1201715047",0.815688359573916
"X1201715049",0.12650806599226
"X1201715050",0.843159823090762
"X1201715052",0.119390652529544
"X1201715053",0.112269947054173
"X1201715054",0.135230015853271
"X1201715055",0.123181294019716
"X1201715056",0.819721730078455
"X1201715058",0.856033398474561
"X1201715059",0.123989747270754
"X1201715061",0.127994420358919
"X1201715063",0.776516926525198
"X1201715065",0.125528169699374
"X1201715066",0.12736716031617
"X1201715068",0.127957291173941
"X1201715069",0.804016255400698
"X1201715072",0.834340549968019
"X1201715074",0.835174851598724
"X1201715075",0.201677755318101
"X1201715077",0.131818319664399
"X1201715078",0.127740246211814
"X1201715079",0.120989206468666
"X1201715081",0.119711799246119
"X1201715082",0.819097805339752
"X1201715083",0.119342953777706
"X1201710697",0.123134202374218
"X1201710702",0.132551342355206
"X1201710705",0.12736968082996
"X1201710707",0.856412785643079
"X1201715084",0.830884549263174
"X1201715085",0.835262226083224
"X1201715086",0.808923829000588
"X1201715087",0.12294678638824
"X1201715090",0.827242062615291
"X1201715091",0.152022614143633
"X1201715092",0.83883243420288
"X1201715093",0.793225447634163
"X1201715094",0.817479612995113
"X1201715095",0.138783840344444
"X1201715096",0.115544117722396
"X1201715097",0.802445866139083
"X1201715098",0.829525424878095
"X1201715099",0.111829942685143
"X1201715100",0.12375434955315
"X1201715101",0.819783502576867
"X1201715103",0.123967782632161
"X1201715104",0.128808938787935
"X1201715105",0.133230128514735
"X1201715106",0.125573834533848
"X1201715108",0.886128605535016
"X1201715109",0.126738248028459
"X1201715110",0.12491255105885
"X1201715112",0.128020995638474
"X1201715113",0.131843643261795
"X1201715114",0.124726841598551
"X1201715115",0.883193291272976
"X1201715116",0.121246959916357
"X1201715117",0.115298241140489
"X1201715118",0.125585275337824
"X1201715120",0.126995570670578
"X1201715121",0.131469712668363
"X1201715122",0.125141015930476
"X1201715123",0.137433293654294
"X1201715124",0.128491922380837
"X1201715128",0.131552233832015
"X1201715130",0.796446830749528
"X1201715131",0.813547578205797
"X1201715132",0.121006338158215
"X1201715133",0.122415640195074
"X1201715134",0.848712492829488
"X1201715135",0.858738567346581
"X1201715136",0.838689810303934
"X1201715137",0.119686608015779
"X1201715138",0.794132700824442
"X1201715139",0.12213525542058
"X1201715143",0.129356920712134
"X1201715145",0.121519358044393
"X1201715147",0.123292831556579
"X1201710712",0.123735761238038
"X1201710714",0.121121667150119
"X1201710717",0.123292450327818
"X1201710720",0.122570318190816
"X1201710726",0.130438554678125
"X1201715150",0.837377385097493
"X1201715151",0.126987859512499
"X1201715152",0.129475448149646
"X1201715153",0.809823371193062
"X1201715154",0.132253414062903
"X1201715155",0.127208979729767
"X1201715158",0.122027396981902
"X1201715159",0.844316100219305
"X1201715160",0.116568315196698
"X1201715161",0.127129233533771
"X1201715163",0.850226240083897
"X1201715165",0.123537085580681
"X1201715167",0.120040252584535
"X1201715169",0.125132904270794
"X1201715170",0.124646469119865
"X1201715171",0.127739870668704
"X1201715172",0.123154779598809
"X1201715174",0.128583747037032
"X1201715175",0.870539102557977
"X1201715176",0.127367864344133
"X1201715177",0.12549389125326
"X1201715178",0.840305974793344
"X1201715179",0.125697446167346
"X1201715180",0.126891469525289
"X1201715182",0.133609734045452
"X1201715183",0.118174828746808
"X1201715185",0.130563437876025
"X1201715186",0.137527465706898
"X1201715188",0.12027253312629
"X1201715189",0.132739396449601
"X1201715190",0.129763938217636
"X1201715192",0.139140654136623
"X1201715196",0.12449732157333
"X1201715198",0.122379634883762
"X1201715200",0.125805286052217
"X1201715201",0.123942898339735
"X1201715203",0.817656927578553
"X1201715204",0.819390876738246
"X1201715205",0.130761824421974
"X1201715206",0.124529227903227
"X1201715208",0.117245715759905
"X1201715209",0.122579787257057
"X1201715210",0.851679475905725
"X1201715212",0.121942901571326
"X1201715213",0.134543229450645
"X1201715216",0.116425794182611
"X1201715218",0.127916763754987
"X1201715220",0.154219700422641
"X1201715221",0.128143942197694
"X1201715222",0.124941280100341
"X1201710727",0.115856304923711
"X1201710728",0.117567852024792
"X1201710729",0.122232627846907
"X1201710730",0.12204604706013
"X1201710731",0.12162129965534
"X1201715223",0.123071317463456
"X1201715224",0.129093834397321
"X1201715225",0.125097586195638
"X1201715226",0.121055907407352
"X1201715228",0.111966928707313
"X1201715231",0.127123001044438
"X1201715232",0.126952958669942
"X1201715233",0.826633712441291
"X1201715235",0.125825088751652
"X1201715236",0.146867579507909
"X1201715237",0.121392445055688
"X1201715238",0.124463975908289
"X1201715240",0.155334587768656
"X1201715243",0.12474571710484
"X1201715244",0.123144122757339
"X1201715245",0.129284849461976
"X1201715246",0.794274690226184
"X1201715248",0.119651880773413
"X1201715249",0.129381872372046
"X1201715250",0.680180578873089
"X1201715251",0.124148944071925
"X1201715252",0.131772793833087
"X1201715254",0.834507738676466
"X1201715255",0.129241067456995
"X1201715256",0.126181490774404
"X1201715257",0.125752475040878
"X1201715258",0.846499168664961
"X1201715259",0.808571771852335
"X1201715260",0.851364073459734
"X1201715261",0.134564825363194
"X1201715262",0.124552326862469
"X1201715264",0.153008060011991
"X1201715265",0.132917410236638
"X1201715266",0.134254973808544
"X1201715267",0.127214008260913
"X1201715268",0.843950359975814
"X1201715269",0.117866910044764
"X1201715270",0.122049408204543
"X1201715271",0.122286770862929
"X1201710308",0.120503505714699
"X1201710314",0.126430864743101
"X1201710328",0.837626324140056
"X1201710329",0.119040734835795
"X1201710337",0.127125552711661
"X1201715272",0.122720197156455
"X1201715273",0.849330767864894
"X1201715274",0.124148194628358
"X1201715276",0.110036337652047
"X1201715277",0.163810446992004
"X1201715278",0.116576296392067
"X1201715280",0.865382757799347
"X1201715281",0.127204637324015
"X1201715283",0.831776416552302
"X1201715284",0.122229147712139
"X1201710732",0.666347267065618
"X1201710734",0.112273730381502
"X1201710737",0.118241563708096
"X1201710740",0.11966327390968
"X1201710741",0.812187369913049
"X1201715285",0.129721706313292
"X1201715286",0.126496763884524
"X1201715288",0.126605043123655
"X1201715289",0.122986978780072
"X1201715290",0.126289858643771
"X1201715291",0.127676505435467
"X1201715293",0.136725686137156
"X1201715294",0.117472257275852
"X1201715295",0.124159894889832
"X1201715298",0.823194477675504
"X1201715299",0.836766974584809
"X1201715300",0.121720663117516
"X1201715302",0.127162259172693
"X1201715303",0.150824063174742
"X1201715304",0.814185839210519
"X1201715305",0.12893924352404
"X1201715306",0.884279891657422
"X1201715307",0.125252609956979
"X1201715308",0.135184816595099
"X1201715309",0.129392427139545
"X1201715311",0.127033662790483
"X1201715312",0.128837692848892
"X1201715314",0.123534630324061
"X1201715316",0.121988457520512
"X1201715317",0.126781960693411
"X1201715318",0.136155034908535
"X1201715320",0.124338115539055
"X1201715321",0.127800524291056
"X1201715322",0.138171715858749
"X1201715323",0.840941056312902
"X1201715324",0.126232347871605
"X1201715325",0.119655950331852
"X1201715326",0.127722751812165
"X1201715327",0.120444200202077
"X1201715328",0.124124583349069
"X1201715329",0.131532716481851
"X1201715330",0.133794148032223
"X1201715331",0.117717987640858
"X1201715334",0.119489104752368
"X1201715335",0.126230820060388
"X1201715337",0.125275765087503
"X1201715338",0.12496259227233
"X1201715339",0.812290635668684
"X1201715340",0.830644184852108
"X1201715341",0.12127603751318
"X1201715342",0.822490079723297
"X1201715343",0.117105863528172
"X1201715346",0.128914206781953
"X1201715347",0.126286608722606
"X1201715349",0.120097222806072
"X1201710743",0.849013630107557
"X1201710745",0.14210940586501
"X1201710749",0.117784786453896
"X1201710761",0.124973861030636
"X1201710763",0.84015058946788
"X1201715350",0.119072898691945
"X1201715351",0.120375681280339
"X1201715352",0.830648644134898
"X1201715353",0.137261889445108
"X1201715354",0.837910424732282
"X1201715355",0.122787825893489
"X1201715356",0.132866193519835
"X1201715357",0.130811480994174
"X1201715358",0.128133084243965
"X1201715360",0.143322582160664
"X1201715361",0.12393920349395
"X1201715363",0.125818883792482
"X1201715364",0.127429045161332
"X1201715365",0.127718773060886
"X1201715367",0.1282593880454
"X1201715368",0.838642362797521
"X1201715370",0.120035339094461
"X1201715371",0.126706101900212
"X1201715374",0.124174537512048
"X1201715375",0.133249940623098
"X1201715376",0.118394447522478
"X1201715377",0.812066468551244
"X1201715380",0.12518141857194
"X1201715381",0.832715849627667
"X1201715382",0.815311174767246
"X1201715383",0.126658251778425
"X1201715384",0.855043894149182
"X1201715385",0.1193221650671
"X1201715386",0.122576563537344
"X1201715387",0.12249059406039
"X1201715388",0.123753794482902
"X1201715390",0.114732894006579
"X1201715391",0.129876250557082
"X1201715393",0.838511575133664
"X1201715394",0.848704933471154
"X1201715396",0.120591847234425
"X1201715397",0.127893560379572
"X1201715398",0.825626590010481
"X1201715400",0.132971372962768
"X1201715403",0.129290785364487
"X1201715404",0.124611940015991
"X1201715406",0.829056961373618
"X1201715407",0.126051991726717
"X1201715409",0.389246409415964
"X1201715411",0.795297914949142
"X1201715414",0.121926726518161
"X1201715415",0.115912764406068
"X1201715416",0.848757545117949
"X1201715417",0.148797473665949
"X1201710765",0.117248890977404
"X1201710766",0.121469342492331
"X1201710767",0.114959043232347
"X1201710768",0.131463542558901
"X1201710770",0.847038168963084
"X1201715418",0.842935513241287
"X1201715419",0.0957996353109904
"X1201715421",0.156240235748126
"X1201715425",0.128522700571919
"X1201715426",0.126295532880073
"X1201715427",0.129820651869732
"X1201715429",0.119266126197164
"X1201715430",0.127703341857786
"X1201715431",0.129819086730005
"X1201715432",0.190185546998963
"X1201715433",0.122345482642701
"X1201715435",0.84400349038654
"X1201715436",0.130782236496627
"X1201715437",0.123836457915325
